,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_ref,poi_phone,poi_email,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_opening_hours,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,osm_id,node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes
6315,6255,29,Berettyóújfalu Hipermarket,1791,4100,Berettyóújfalu,Honvéd utca,13,,POINT (47.237927 21.535091),Honvéd u. 13.,/aruhazak/aruhaz/tesco-berettyoujfalu-hipermarket,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,08:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,18:00:00,,,,,,,,,,,,,,,,,Mo-Sa 06:00-22:00; Su 08:00-18:00,,2018-07-13 12:19:24.517432+00:00,,,47.237927,21.535091,29,Tesco,shop,"{'shop': 'supermarket', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'wikipedia': 'hu:Tesco', 'wikidata': 'Q487494', 'facebook': 'https://www.facebook.com/tescoaruhazak/', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescosup,,,,,,,
6316,6256,29,Bicske Hipermarket,635,2060,Bicske,Csabdi út,4,,POINT (47.50189 18.62918),Csabdi út 4.,/aruhazak/aruhaz/tesco-bicske-hipermarket,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,08:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,20:00:00,,,,,,,,,,,,,,,,,Mo-Sa 06:00-22:00; Su 08:00-20:00,,2018-07-13 12:19:24.517432+00:00,,,47.50189,18.62918,29,Tesco,shop,"{'shop': 'supermarket', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'wikipedia': 'hu:Tesco', 'wikidata': 'Q487494', 'facebook': 'https://www.facebook.com/tescoaruhazak/', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescosup,,,,,,,
6317,6257,29,Bonyhád Hipermarket,2700,7150,Bonyhád,Völgység utca,8,,POINT (46.300828 18.538666),Völgység u. 8.,/aruhazak/aruhaz/tesco-bonyhad-hipermarket,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,08:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,20:00:00,,,,,,,,,,,,,,,,,Mo-Sa 06:00-22:00; Su 08:00-20:00,,2018-07-13 12:19:24.517432+00:00,,,46.300828,18.538666,29,Tesco,shop,"{'shop': 'supermarket', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'wikipedia': 'hu:Tesco', 'wikidata': 'Q487494', 'facebook': 'https://www.facebook.com/tescoaruhazak/', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescosup,,,,,,,
6318,6258,29,Budakeszi Hipermarket,658,2092,Budakeszi,Bianka utca,1,,POINT (47.499575 18.912105),Bianka u. 1.,/aruhazak/aruhaz/tesco-budakeszi-hipermarket,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,20:00:00,,,,,,,,,,,,,,,,,Mo-Sa 06:00-22:00; Su 07:00-20:00,,2018-07-13 12:19:24.517432+00:00,,,47.499575,18.912105,29,Tesco,shop,"{'shop': 'supermarket', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'wikipedia': 'hu:Tesco', 'wikidata': 'Q487494', 'facebook': 'https://www.facebook.com/tescoaruhazak/', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescosup,,,,,,,
6319,6259,29,Budaörs Hipermarket,622,2040,Budaörs,Kinizsi út,1,,POINT (47.45174 18.96453),Kinizsi út 1–3.,/aruhazak/aruhaz/tesco-budaors-hipermarket,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,Mo-Su 00:00-24:00,,2018-07-13 12:19:24.517432+00:00,,,47.45174,18.96453,29,Tesco,shop,"{'shop': 'supermarket', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'wikipedia': 'hu:Tesco', 'wikidata': 'Q487494', 'facebook': 'https://www.facebook.com/tescoaruhazak/', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescosup,,,,,,,
6320,6261,29,Campona Hipermarket,182,1223,Budapest,Nagytétényi út,35,,POINT (47.40759 19.0198),Nagytétényi út 35.,/aruhazak/aruhaz/tesco-campona-hipermarket,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,20:00:00,,,,,,,,,,,,,,,,,Mo-Sa 06:00-22:00; Su 07:00-20:00,,2018-07-13 12:19:24.517432+00:00,,,47.40759,19.0198,29,Tesco,shop,"{'shop': 'supermarket', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'wikipedia': 'hu:Tesco', 'wikidata': 'Q487494', 'facebook': 'https://www.facebook.com/tescoaruhazak/', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescosup,,,,,,,
6321,6262,29,Cegléd Hipermarket,969,2700,Cegléd,Malomtó szél,30,,POINT (47.18303 19.79737),Malomtó szél 30.,/aruhazak/aruhaz/tesco-cegled-hipermarket,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,08:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,20:00:00,,,,,,,,,,,,,,,,,Mo-Sa 06:00-22:00; Su 08:00-20:00,,2018-07-13 12:19:24.517432+00:00,,,47.18303,19.79737,29,Tesco,shop,"{'shop': 'supermarket', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'wikipedia': 'hu:Tesco', 'wikidata': 'Q487494', 'facebook': 'https://www.facebook.com/tescoaruhazak/', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescosup,,,,,,,
6322,6263,29,Celldömölk Szupermarket,4261,9500,Celldömölk,Sági utca,41,,POINT (47.252067 17.152364),Sági u. 41.,/aruhazak/aruhaz/tesco-celldomolk-szupermarket,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,18:00:00,,,,,,,,,,,,,,,,,Mo-Sa 06:00-22:00; Su 07:00-18:00,,2018-07-13 12:19:24.517432+00:00,,,47.252067,17.152364,29,Tesco,shop,"{'shop': 'supermarket', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'wikipedia': 'hu:Tesco', 'wikidata': 'Q487494', 'facebook': 'https://www.facebook.com/tescoaruhazak/', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescosup,,,,,,,
6323,6264,29,Csepel Hipermarket,178,1214,Budapest,XXI. II. Rákóczi Ferenc utca,191,,POINT (47.41378 19.05747),XXI. II. Rákóczi Ferenc u.191.,/aruhazak/aruhaz/tesco-csepel-hipermarket,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,20:00:00,,,,,,,,,,,,,,,,,Mo-Sa 06:00-22:00; Su 07:00-20:00,,2018-07-13 12:19:24.517432+00:00,,,47.41378,19.05747,29,Tesco,shop,"{'shop': 'supermarket', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'wikipedia': 'hu:Tesco', 'wikidata': 'Q487494', 'facebook': 'https://www.facebook.com/tescoaruhazak/', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescosup,,,,,,,
6324,6265,29,Csorna Hipermarket,4161,9300,Csorna,Bartók Béla utca,3/c,,POINT (47.60834 17.24369),Bartók Béla u. 3/c.,/aruhazak/aruhaz/tesco-csorna-hipermarket,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,08:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,18:00:00,,,,,,,,,,,,,,,,,Mo-Sa 06:00-22:00; Su 08:00-18:00,,2018-07-13 12:19:24.517432+00:00,,,47.60834,17.24369,29,Tesco,shop,"{'shop': 'supermarket', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'wikipedia': 'hu:Tesco', 'wikidata': 'Q487494', 'facebook': 'https://www.facebook.com/tescoaruhazak/', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescosup,,,,,,,
