,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_ref,poi_phone,poi_email,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_opening_hours,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,osm_id,node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes
388,25,2.0,Debrecen Repülőtér Extra,1760,4030,Debrecen,Mikepércsi út,73/A,,POINT (47.503887 21.630595),Mikepércsi út 73/a.,/aruhazak/aruhaz/tesco-debrecen-repuloter-extra,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,20:00:00,,,,,,,,,,,,,,,,,Mo-Sa 06:00-22:00; Su 07:00-20:00,,2018-07-15 08:46:26.928887+00:00,,,47.503887,21.630595,2,Tesco Extra,shop,"{'shop': 'supermarket', 'wheelchair': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'addr:country': 'HU', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'facebook': 'https://www.facebook.com/tescoaruhazak', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescoext,tesco,186360758,False,7,0,2017-12-25T16:16:30Z,"{'website': 'http://www.tesco.hu', 'toilets:wheelchair': 'yes', 'shop': 'supermarket', 'designation': 'Hipermarket', 'addr:postcode': '4030', 'building': 'retail', 'addr:street': 'Mikepércsi út', 'wheelchair': 'yes', 'name': 'Tesco Extra', 'addr:city': 'Debrecen', 'addr:housenumber': '43/a'}","[2518544299, 2518544292, 2518544294, 2518544283, 2518544280, 2518544296, 1970374838, 2518544306, 1970374835, 1970374837, 1970374839, 2518544299]"
389,87,2.0,Extra Debrecen - Kishegyesi út,1761,4031,Debrecen,Kishegyesi út,1-11,,POINT (47.53037 21.61049),Kishegyesi út 1-11.,/aruhazak/aruhaz/tesco-extra-debrecen-kishegyesi-ut,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,Mo-Su 00:00-24:00,,2018-07-15 08:46:26.928887+00:00,,,47.53037,21.61049,2,Tesco Extra,shop,"{'shop': 'supermarket', 'wheelchair': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'addr:country': 'HU', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'facebook': 'https://www.facebook.com/tescoaruhazak', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescoext,tesco,120212084,False,8,0,2017-12-25T16:16:04Z,"{'website': 'http://tesco.hu/aruhazak/aruhaz/22', 'shop': 'supermarket', 'name': 'Tesco Extra', 'toilets:wheelchair': 'yes', 'building': 'retail', 'addr:street': 'Kishegyesi út', 'wheelchair': 'yes', 'addr:housenumber': '1-11', 'addr:postcode': '4031', 'shoes': 'supermarket', 'internet_access': 'wlan', 'alt_name': 'TESCO Extra 0-24', 'addr:city': 'Debrecen'}","[1348431235, 1348431237, 1348431247, 1348431262, 1348431251, 1348431248, 1348431255, 1348431256, 1348431257, 1348431260, 4810423277, 1348431267, 4810423278, 1348431235]"
390,88,2.0,Extra Fogarasi út,138,1149,Budapest,Pillangó utca,15,,POINT (47.50504 19.11738),Pillangó u. 15.,/aruhazak/aruhaz/tesco-extra-fogarasi-ut,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,Mo-Su 00:00-24:00,,2018-07-15 08:46:26.928887+00:00,,,47.50504,19.11738,2,Tesco Extra,shop,"{'shop': 'supermarket', 'wheelchair': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'addr:country': 'HU', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'facebook': 'https://www.facebook.com/tescoaruhazak', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescoext,tesco,191492777,False,5,0,2017-12-25T16:16:32Z,"{'shop': 'supermarket', 'name': 'Tesco', 'toilets:wheelchair': 'yes', 'building': 'retail', 'toilets': 'customers', 'wheelchair': 'yes'}","[2020631534, 2020631539, 2020631417, 2020631309, 2020631579, 2020631347, 2020631475, 2020631512, 2020631367, 2020631542, 2020631353, 2020631428, 2020631426, 2020631379, 2020631534]"
391,89,2.0,Extra Miskolc - Szentpéteri kapu,1363,3526,Miskolc,Szentpéteri kapu,103,,POINT (48.12795 20.78274),Szentpéteri kapu 103,/aruhazak/aruhaz/tesco-extra-miskolc-szentpeteri-kapu,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,20:00:00,,,,,,,,,,,,,,,,,Mo-Sa 06:00-22:00; Su 07:00-20:00,,2018-07-15 08:46:26.928887+00:00,,,48.12795,20.78274,2,Tesco Extra,shop,"{'shop': 'supermarket', 'wheelchair': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'addr:country': 'HU', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'facebook': 'https://www.facebook.com/tescoaruhazak', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescoext,tesco,118967839,False,6,0,2017-12-25T16:16:03Z,"{'shop': 'supermarket', 'name': 'Tesco Extra', 'addr:postcode': '3527', 'building': 'retail', 'addr:street': 'Szentpéteri kapu', 'wheelchair': 'yes', 'addr:city': 'Miskolc'}","[1337352074, 1337352145, 1337352059, 1337352083, 1337352074]"
392,90,2.0,Extra Szolnok ,2138,5000,Szolnok,Téglagyári út,30,,POINT (47.17615 20.16658),Téglagyári út 30.,/aruhazak/aruhaz/tesco-extra-szolnok,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,20:00:00,,,,,,,,,,,,,,,,,Mo-Sa 06:00-22:00; Su 07:00-20:00,,2018-07-15 08:46:26.928887+00:00,,,47.17615,20.16658,2,Tesco Extra,shop,"{'shop': 'supermarket', 'wheelchair': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'addr:country': 'HU', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'facebook': 'https://www.facebook.com/tescoaruhazak', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescoext,tesco,260815159,False,4,0,2017-12-25T16:17:17Z,"{'website': 'http://www.tesco.hu', 'shop': 'supermarket', 'name': 'TESCO Extra', 'addr:postcode': '5000', 'building': 'retail', 'addr:street': 'Téglagyári út', 'wheelchair': 'yes', 'operator': 'TESCO', 'addr:city': 'Szolnok', 'addr:housenumber': '30'}","[2663750357, 2663750358, 2663750359, 2663750360, 2663750361, 2663750362, 2663750363, 2663750364, 2663750365, 2663755793, 2663750357]"
393,91,2.0,Extra Váci út ,128,1138,Budapest,Gács utca,3,,POINT (47.55583 19.07974),Gács u. 3.,/aruhazak/aruhaz/tesco-extra-vaci-ut,,36208274599.0,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,Mo-Su 00:00-24:00,,2018-07-15 08:46:26.928887+00:00,,,47.55583,19.07974,2,Tesco Extra,shop,"{'shop': 'supermarket', 'wheelchair': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'addr:country': 'HU', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'facebook': 'https://www.facebook.com/tescoaruhazak', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescoext,tesco,78342617,False,12,0,2018-03-08T20:46:33Z,"{'name:en': 'Tesco extra', 'opening_hours': 'Mo-Su 00:00-24:00', 'shop': 'supermarket', 'name': 'Tesco Extra', 'building': 'retail', 'addr:street': 'Gács utca', 'addr:housenumber': '3', 'addr:postcode': '1138', 'wheelchair': 'yes', 'website': 'http://tesco.hu/aruhazak/aruhaz/147', 'name:fr': 'Tesco extra', 'building:levels': '2', 'addr:city': 'Budapest'}","[919682524, 4443877094, 4443832093, 919682525, 4443837703, 4443877091, 919682526, 4443879792, 4443837699, 919682527, 4443916290, 919682524]"
394,174,2.0,Szeged Extra - Rókusi krt.,2545,6724,Szeged,Rókusi körút,42-64,,POINT (46.26835 20.13889),Rókusi krt. 42-64.,/aruhazak/aruhaz/tesco-szeged-extra-rokusi-krt,,36208273999.0,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,Mo-Su 00:00-24:00,,2018-07-15 08:46:26.928887+00:00,,,46.2680189949661,20.1385925971967,2,Tesco Extra,shop,"{'shop': 'supermarket', 'wheelchair': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'addr:country': 'HU', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'facebook': 'https://www.facebook.com/tescoaruhazak', 'youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.tesco.hu,hutescoext,tesco,4781258096,True,3,0,2017-09-05T04:39:26Z,"{'opening_hours': '24/7', 'shop': 'supermarket', 'name': 'Tesco', 'toilets:wheelchair': 'limited', 'wheelchair': 'yes'}",
